,campaign_name,date_start,date_stop,impressions,inline_link_clicks,spend,purchase_roas,actions,CPI,Revenue
2,US - Launch Coloring Persona - iOS,2021-01-21,2021-01-21,43343,318,249.76,0,165.0,1.5136969696969695,0
3,US - Launch Coloring Persona - AND,2021-01-21,2021-01-21,28603,293,250.03,0,131.0,1.9086259541984734,0
3,US - Launch Coloring Persona - iOS,2021-01-22,2021-01-22,37527,320,250.1,0,192.0,1.3026041666666666,0
4,US - Launch Coloring Persona - AND,2021-01-22,2021-01-22,26671,242,249.03,0,141.0,1.7661702127659575,0
3,US - Launch Coloring Persona - iOS,2021-01-23,2021-01-23,33842,280,248.38,0,171.0,1.452514619883041,0
4,US - Launch Coloring Persona - AND,2021-01-23,2021-01-23,25341,264,247.16,0,157.0,1.5742675159235668,0
3,US - Launch Coloring Persona - iOS,2021-01-24,2021-01-24,40842,328,250.03,0,197.0,1.2691878172588833,0
4,US - Launch Coloring Persona - AND,2021-01-24,2021-01-24,27043,251,250.91,0,123.0,2.039918699186992,0
3,US - Launch Coloring Persona - iOS,2021-01-25,2021-01-25,40842,357,250.61,0,213.0,1.1765727699530517,0
4,US - Launch Coloring Persona - AND,2021-01-25,2021-01-25,28634,257,250.67,0,132.0,1.8990151515151514,0
3,US - Launch Coloring Persona - iOS,2021-01-26,2021-01-26,39784,339,250.69,0,188.0,1.3334574468085105,0
4,US - Launch Coloring Persona - AND,2021-01-26,2021-01-26,27435,232,250.81,0,123.0,2.0391056910569105,0
3,US - Launch Coloring Persona - iOS,2021-01-27,2021-01-27,63718,365,250.34,0,204.0,1.2271568627450982,0
4,US - Launch Coloring Persona - AND,2021-01-27,2021-01-27,32783,250,250.04,0,128.0,1.9534375,0
